settlement_id,date_initiated,product_sales,selling_fees,refunded_amount,units
PO0028,2025-01-09,12453.9,1868.08,868.89,118
PO0030,2025-01-15,6368.24,955.24,115.29,67
PO0032,2025-01-21,9597.71,1439.66,189.17,105
PO0034,2025-01-30,3527.45,529.12,205.96,35
PO0036,2025-02-07,8352.14,1252.82,699.36,87
PO0038,2025-02-14,8522.95,1278.44,238.6,83
PO0040,2025-02-22,8613.94,1292.09,254.99,84
PO0042,2025-03-02,11670.82,1750.62,735.96,120
PO0044,2025-03-11,3168.23,475.23,162.39,37
PO0046,2025-03-20,5490.81,823.62,430.22,60
PO0048,2025-03-26,7036.03,1055.4,501.02,70
PO0050,2025-03-31,3368.29,505.24,214.53,32
