bank_transaction_id,settlement_id,merchant_id,credited_amount,credit_date,bank_reference
bnk_001000,stl_001000,mrc_demo_003,23730.4,2026-07-21,UTR767900326356
bnk_orphan_001001,stl_unknown_0001,mrc_demo_001,9050.6,2026-07-12,UTR438472520493
bnk_001002,stl_001002,mrc_demo_001,6013.24,2026-07-07,UTR937424066816
bnk_orphan_001003,stl_unknown_0003,mrc_demo_003,17376.35,2026-07-11,UTR696695139934
bnk_001004,stl_001004,mrc_demo_003,5104.66,2026-08-17,UTR670799496139
bnk_001005,stl_001005,mrc_demo_002,6234.54,2026-07-11,UTR105240793782
bnk_001007,stl_001007,mrc_demo_002,12668.78,2026-07-08,UTR733812803930
bnk_001008,stl_001008,mrc_demo_002,19204.84,2026-07-18,UTR488398407379
bnk_001009,stl_001009,mrc_demo_002,11529.8,2026-08-01,UTR977630621959
bnk_001010,stl_001010,mrc_demo_001,4873.6,2026-07-19,UTR608002483225
bnk_001011,stl_001011,mrc_demo_001,10952.38,2026-07-05,UTR928612436713
bnk_001012,stl_001012,mrc_demo_001,10065.07,2026-07-11,UTR101627677155
bnk_001013,stl_001013,mrc_demo_002,22633.98,2026-07-20,UTR422938152332
bnk_dup_001013,stl_001013,mrc_demo_002,22633.98,2026-07-21,UTR735906343638
bnk_001014,stl_001014,mrc_demo_003,1716.73,2026-08-09,UTR274079861243
bnk_001015,stl_001015,mrc_demo_001,2179.59,2026-08-04,UTR361399523052
bnk_001017,stl_001017,mrc_demo_003,15211.67,2026-07-06,UTR446673404045
bnk_001018,stl_001018,mrc_demo_001,9808.23,2026-07-19,UTR602551183219
bnk_001019,stl_001019,mrc_demo_003,24315.43,2026-08-08,UTR486260407870
bnk_001020,stl_001020,mrc_demo_001,5504.2,2026-07-20,UTR820726006289
bnk_orphan_001021,stl_unknown_0021,mrc_demo_003,16931.28,2026-07-03,UTR388339584783
bnk_001022,stl_001022,mrc_demo_001,18184.96,2026-07-10,UTR324810959018
bnk_001023,stl_001023,mrc_demo_003,20855.23,2026-08-17,UTR796181120841
bnk_orphan_001025,stl_unknown_0025,mrc_demo_002,2457.79,2026-07-13,UTR697640637435
bnk_001026,stl_001026,mrc_demo_001,14320.62,2026-07-25,UTR975885943559
bnk_001027,stl_001027,mrc_demo_001,5320.35,2026-07-28,UTR270722706393
bnk_001029,stl_001029,mrc_demo_001,19150.87,2026-07-25,UTR517076094887
bnk_001030,stl_001030,mrc_demo_001,5618.97,2026-08-01,UTR821656143707
bnk_001031,stl_001031,mrc_demo_001,8176.44,2026-07-31,UTR463080281895
bnk_001032,stl_001032,mrc_demo_001,21438.25,2026-07-10,UTR753300614396
bnk_001033,stl_001033,mrc_demo_002,17599.99,2026-07-25,UTR379989256365
bnk_orphan_001034,stl_unknown_0034,mrc_demo_001,1724.54,2026-08-17,UTR784317998415
bnk_001035,stl_001035,mrc_demo_002,20561.44,2026-08-16,UTR866232475190
bnk_001036,stl_001036,mrc_demo_002,1991.8,2026-08-08,UTR433156770265
bnk_001037,stl_001037,mrc_demo_002,20391.54,2026-08-10,UTR819865130020
bnk_001038,stl_001038,mrc_demo_002,6551.92,2026-08-04,UTR822283324709
bnk_001039,stl_001039,mrc_demo_001,12700.1,2026-07-22,UTR346146377317
bnk_001040,stl_001040,mrc_demo_001,833.88,2026-07-11,UTR734065014236
bnk_001041,stl_001041,mrc_demo_001,17071.81,2026-08-18,UTR107248283084
bnk_001042,stl_001042,mrc_demo_001,5532.15,2026-07-29,UTR247989376703
bnk_001043,stl_001043,mrc_demo_002,13079.03,2026-08-17,UTR893774408754
bnk_001044,stl_001044,mrc_demo_003,20315.26,2026-08-01,UTR925746940063
bnk_001045,stl_001045,mrc_demo_001,6945.16,2026-08-12,UTR183493617047
bnk_001046,stl_001046,mrc_demo_003,5910.41,2026-07-19,UTR354050883222
bnk_001047,stl_001047,mrc_demo_002,3686.58,2026-08-19,UTR557267663034
bnk_001048,stl_001048,mrc_demo_001,20371.37,2026-07-18,UTR427928307068
bnk_001049,stl_001049,mrc_demo_002,13250.33,2026-07-29,UTR634447845982
bnk_001050,stl_001050,mrc_demo_001,8366.56,2026-08-01,UTR614711052552
bnk_001051,stl_001051,mrc_demo_001,13151.32,2026-08-12,UTR610529239139
bnk_001052,stl_001052,mrc_demo_001,6530.58,2026-07-07,UTR406571012708
bnk_001053,stl_001053,mrc_demo_002,20420.18,2026-07-18,UTR813927597991
bnk_001054,stl_001054,mrc_demo_001,729.89,2026-08-13,UTR362647482251
bnk_001055,stl_001055,mrc_demo_001,16421.84,2026-08-03,UTR766440579767
bnk_001056,stl_001056,mrc_demo_003,3011.44,2026-08-16,UTR845502370306
bnk_001057,stl_001057,mrc_demo_002,22995.33,2026-07-27,UTR949102978448
bnk_001058,stl_001058,mrc_demo_002,14753.24,2026-08-18,UTR174606033855
bnk_001059,stl_001059,mrc_demo_003,8489.86,2026-08-15,UTR606070444418
bnk_001060,stl_001060,mrc_demo_003,10767.66,2026-07-14,UTR751679795363
bnk_001061,stl_001061,mrc_demo_002,20826.23,2026-07-23,UTR772462383766
bnk_001062,stl_001062,mrc_demo_003,8373.02,2026-07-28,UTR977697289990
bnk_001063,stl_001063,mrc_demo_002,7001.88,2026-07-24,UTR310230327999
bnk_dup_001063,stl_001063,mrc_demo_002,7001.88,2026-07-23,UTR362360709927
bnk_001064,stl_001064,mrc_demo_003,12050.65,2026-07-31,UTR120585489939
bnk_001065,stl_001065,mrc_demo_001,5349.0,2026-07-23,UTR480237414389
bnk_001066,stl_001066,mrc_demo_002,8237.57,2026-08-07,UTR890792195524
bnk_001067,stl_001067,mrc_demo_001,3132.79,2026-07-24,UTR402727327810
bnk_orphan_001068,stl_unknown_0068,mrc_demo_003,5684.31,2026-08-09,UTR294823500706
bnk_001069,stl_001069,mrc_demo_002,17353.69,2026-07-03,UTR865758896013
bnk_001070,stl_001070,mrc_demo_001,21230.97,2026-08-13,UTR583092399018
bnk_001071,stl_001071,mrc_demo_002,23575.97,2026-07-13,UTR179421446737
bnk_001072,stl_001072,mrc_demo_003,16832.48,2026-08-12,UTR374851785492
bnk_001073,stl_001073,mrc_demo_001,18717.27,2026-08-09,UTR589233301053
bnk_001074,stl_001074,mrc_demo_002,24168.85,2026-08-07,UTR334614800586
bnk_001075,stl_001075,mrc_demo_002,2205.6,2026-08-12,UTR546688090938
bnk_dup_001075,stl_001075,mrc_demo_002,2205.6,2026-08-13,UTR857849142762
bnk_001076,stl_001076,mrc_demo_003,7220.62,2026-08-04,UTR601908189135
bnk_001077,stl_001077,mrc_demo_001,5884.56,2026-08-15,UTR809635153062
bnk_001078,stl_001078,mrc_demo_001,20220.1,2026-07-26,UTR922894448206
bnk_001079,stl_001079,mrc_demo_003,10856.26,2026-07-23,UTR694854998490
bnk_001080,stl_001080,mrc_demo_002,2187.58,2026-08-02,UTR126845125742
bnk_001081,stl_001081,mrc_demo_001,23489.29,2026-07-24,UTR395585753511
bnk_001082,stl_001082,mrc_demo_003,18685.02,2026-07-07,UTR579255341440
bnk_001083,stl_001083,mrc_demo_003,23461.76,2026-08-04,UTR214547351220
bnk_001084,stl_001084,mrc_demo_001,10191.48,2026-07-27,UTR598373819327
bnk_001085,stl_001085,mrc_demo_001,6343.11,2026-07-23,UTR696439391755
bnk_001086,stl_001086,mrc_demo_002,932.11,2026-08-01,UTR935122206857
bnk_001087,stl_001087,mrc_demo_001,6697.34,2026-07-17,UTR768425855938
bnk_001088,stl_001088,mrc_demo_001,4071.0,2026-08-18,UTR607293452733
bnk_001089,stl_001089,mrc_demo_001,20353.3,2026-08-14,UTR631866089440
bnk_001090,stl_001090,mrc_demo_002,11282.38,2026-07-17,UTR947295030873
bnk_dup_001090,stl_001090,mrc_demo_002,11282.38,2026-07-18,UTR475444318886
bnk_001091,stl_001091,mrc_demo_003,20073.12,2026-07-21,UTR690328426008
bnk_001092,stl_001092,mrc_demo_002,8277.4,2026-07-25,UTR868716573635
bnk_001093,stl_001093,mrc_demo_001,9498.54,2026-08-11,UTR992981382947
bnk_001094,stl_001094,mrc_demo_002,24129.76,2026-07-25,UTR463312058510
bnk_001095,stl_001095,mrc_demo_001,2653.26,2026-07-31,UTR821000167049
bnk_001096,stl_001096,mrc_demo_001,11589.39,2026-07-10,UTR518903718101
bnk_001097,stl_001097,mrc_demo_002,17612.24,2026-08-10,UTR854330092722
bnk_001098,stl_001098,mrc_demo_002,18040.32,2026-07-15,UTR429398226794
bnk_001099,stl_001099,mrc_demo_001,8082.49,2026-07-06,UTR366913189856
bnk_001100,stl_001100,mrc_demo_003,13802.14,2026-07-29,UTR520352055311
bnk_001101,stl_001101,mrc_demo_003,6063.54,2026-08-18,UTR603601998005
bnk_001102,stl_001102,mrc_demo_002,470.71,2026-08-13,UTR428941115748
bnk_001103,stl_001103,mrc_demo_003,16925.82,2026-08-01,UTR358156110078
bnk_001104,stl_001104,mrc_demo_002,8918.27,2026-08-10,UTR718510071124
bnk_001105,stl_001105,mrc_demo_003,22249.72,2026-07-07,UTR489991328169
bnk_001106,stl_001106,mrc_demo_001,4838.36,2026-08-17,UTR791074856708
bnk_001107,stl_001107,mrc_demo_003,7709.34,2026-07-07,UTR199348657231
bnk_001108,stl_001108,mrc_demo_002,18307.34,2026-07-25,UTR379879587162
bnk_001109,stl_001109,mrc_demo_002,18285.07,2026-07-19,UTR897473738038
bnk_001110,stl_001110,mrc_demo_003,23618.8,2026-07-29,UTR689546360500
bnk_dup_001110,stl_001110,mrc_demo_003,23618.8,2026-07-30,UTR598747015912
bnk_001111,stl_001111,mrc_demo_002,18344.33,2026-08-15,UTR356301471392
bnk_001112,stl_001112,mrc_demo_002,15215.67,2026-07-05,UTR796056217061
bnk_001113,stl_001113,mrc_demo_002,7546.38,2026-08-14,UTR226669858209
bnk_001114,stl_001114,mrc_demo_001,21685.25,2026-07-20,UTR920121345586
bnk_001115,stl_001115,mrc_demo_003,10372.29,2026-08-05,UTR549320804913
bnk_001116,stl_001116,mrc_demo_002,16925.04,2026-07-10,UTR498811121833
bnk_001118,stl_001118,mrc_demo_002,4830.55,2026-07-21,UTR755581630158
bnk_001119,stl_001119,mrc_demo_001,19257.4,2026-07-05,UTR941082663172
bnk_001120,stl_001120,mrc_demo_003,13912.98,2026-07-15,UTR263140158617
bnk_001121,stl_001121,mrc_demo_001,6300.96,2026-08-04,UTR490905848547
bnk_001122,stl_001122,mrc_demo_001,8067.91,2026-08-10,UTR677333629502
bnk_001123,stl_001123,mrc_demo_001,11752.65,2026-07-08,UTR899050168462
bnk_001124,stl_001124,mrc_demo_003,7532.86,2026-08-07,UTR853450108054
bnk_001125,stl_001125,mrc_demo_001,17459.61,2026-08-05,UTR169356565695
bnk_001126,stl_001126,mrc_demo_001,15330.95,2026-07-21,UTR763596288927
bnk_001127,stl_001127,mrc_demo_002,19409.69,2026-07-10,UTR471144503217
bnk_001128,stl_001128,mrc_demo_002,10296.48,2026-07-30,UTR509116636460
bnk_001129,stl_001129,mrc_demo_001,13529.16,2026-08-14,UTR916458527301
bnk_001130,stl_001130,mrc_demo_003,19860.94,2026-07-28,UTR551496545441
bnk_001131,stl_001131,mrc_demo_002,22987.1,2026-08-15,UTR731805153549
