txn_id,date,description,amount,balance
BT0136,01/01/2025,STRIPE ATLAS,"-1,401.92","48,598.08"
BT0124,01/03/2025,GUSTO LAW RETAINER,"-2,751.91","45,846.17"
BT0002,01/04/2025,SHOPIFY PAYMENTS 0001 EDI PYMNT,"9,125.11","54,971.28"
BT0054,01/04/2025,STRIPE TRANSFER 0053 EDI PYMNT,"2,887.79","57,859.07"
BT0084,01/04/2025,PACKAGING SUPPLY CO,"-2,865.56","54,993.51"
BT0086,01/05/2025,CONTRACT MFG ACH,"-1,642.99","53,350.52"
BT0171,2025-01-05,GOOGLE *GSUITE_acme,"-1,706.38","51,644.14"
BT0114,01/06/2025,COMCAST BUSINESS,-718.14,"50,926.00"
BT0123,2025-01-07,UBER *TRIP,-223.09,"50,702.91"
BT0189,2025-01-07,SHENZHEN MFG CO,"-2,236.92","48,465.99"
BT0207,2025-01-07,GOOGLE *GSUITE_acme,"-1,612.04","46,853.95"
BT0214,01/07/2025,UPWORK *CONTRACTOR,"-2,916.47","43,937.48"
BT0150,01/08/2025,FACEBK *7H2K9,-573.90,"43,363.58"
BT0209,2025-01-08,FLEXPORT 3PL INV,"-1,067.35","42,296.23"
BT0029,2025-01-09,AMAZON SETTLEMENT 0028 EDI PYMNT,"9,716.93","52,013.16"
BT0056,01/12/2025,STRIPE TRANSFER 0055 EDI PYMNT,"8,383.19","60,396.35"
BT0106,01/12/2025,STAPLES 00471,"-2,066.43","58,329.92"
BT0138,01/12/2025,AMZN MKTP US*2H,"-2,085.35","56,244.57"
BT0146,01/12/2025,COMCAST BUSINESS,"-3,692.03","52,552.54"
BT0172,01/12/2025,UBER *TRIP,-20.71,"52,531.83"
BT0004,01/13/2025,SHOPIFY PAYMENTS 0003 EDI PYMNT,"10,360.64","62,892.47"
BT0091,2025-01-13,FRACTIONAL CFO LLC,-777.15,"62,115.32"
BT0139,2025-01-13,WEWORK MEMBERSHIP,"-3,044.50","59,070.82"
BT0143,2025-01-13,FEDEX 7729,"-3,107.10","55,963.72"
BT0160,01/13/2025,AMZN MKTP US*2H,"-2,948.43","53,015.29"
BT0130,01/14/2025,AMZN MKTP US*2H,-593.34,"52,421.95"
