txn_id,payout_id
BT0002,PO0001
BT0054,PO0053
BT0029,PO0028
BT0056,PO0055
BT0004,PO0003
BT0031,PO0030
BT0058,PO0057
BT0033,PO0032
BT0006,PO0005
BT0060,PO0059
BT0008,PO0007
BT0035,PO0034
BT0062,PO0061
BT0010,PO0009
BT0037,PO0036
BT0064,PO0063
BT0012,PO0011
BT0066,PO0065
BT0039,PO0038
BT0068,PO0067
BT0014,PO0013
BT0041,PO0040
BT0016,PO0015
BT0070,PO0069
BT0043,PO0042
BT0018,PO0017
BT0072,PO0071
BT0020,PO0019
BT0045,PO0044
BT0022,PO0021
BT0074,PO0073
BT0047,PO0046
BT0024,PO0023
BT0076,PO0075
BT0049,PO0048
BT0026,PO0025
BT0051,PO0050
