payment_id,settlement_id,bank_transaction_id,expected_status,anomaly_type
pay_001000,stl_001000,bnk_001000,EXACT_MATCH,
pay_001001,stl_001001,bnk_orphan_001001,UNMATCHED_BANK_CREDIT,UNMATCHED_BANK_CREDIT
pay_001002,stl_001002,bnk_001002,FEE_MISMATCH,FEE_MISMATCH
pay_001003,stl_001003,bnk_orphan_001003,UNMATCHED_BANK_CREDIT,UNMATCHED_BANK_CREDIT
pay_001004,stl_001004,bnk_001004,EXACT_MATCH,
pay_001005,stl_001005,bnk_001005,EXACT_MATCH,
pay_001006,,,MISSING_SETTLEMENT,MISSING_SETTLEMENT
pay_001007,stl_001007,bnk_001007,EXACT_MATCH,
pay_001008,stl_001008,bnk_001008,EXACT_MATCH,
pay_001009,stl_001009,bnk_001009,EXACT_MATCH,
pay_001010,stl_001010,bnk_001010,EXACT_MATCH,
pay_001011,stl_001011,bnk_001011,EXACT_MATCH,
pay_001012,stl_001012,bnk_001012,EXACT_MATCH,
pay_001013,stl_001013,bnk_001013,DUPLICATE_BANK_CREDIT,DUPLICATE_BANK_CREDIT
pay_001014,stl_001014,bnk_001014,EXACT_MATCH,
pay_001015,stl_001015,bnk_001015,EXACT_MATCH,
pay_001016,,,MISSING_SETTLEMENT,MISSING_SETTLEMENT
pay_001017,stl_001017,bnk_001017,EXACT_MATCH,
pay_001018,stl_001018,bnk_001018,EXACT_MATCH,
pay_001019,stl_001019,bnk_001019,EXACT_MATCH,
pay_001020,stl_001020,bnk_001020,PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
pay_001021,stl_001021,bnk_orphan_001021,UNMATCHED_BANK_CREDIT,UNMATCHED_BANK_CREDIT
pay_001022,stl_001022,bnk_001022,EXACT_MATCH,
pay_001023,stl_001023,bnk_001023,DELAYED_SETTLEMENT,DELAYED_SETTLEMENT
pay_001024,,,MISSING_SETTLEMENT,MISSING_SETTLEMENT
pay_001025,stl_001025,bnk_orphan_001025,UNMATCHED_BANK_CREDIT,UNMATCHED_BANK_CREDIT
pay_001026,stl_001026,bnk_001026,EXACT_MATCH,
pay_001027,stl_001027,bnk_001027,EXACT_MATCH,
pay_001028,,,MISSING_SETTLEMENT,MISSING_SETTLEMENT
pay_001029,stl_001029,bnk_001029,EXACT_MATCH,
pay_001030,stl_001030,bnk_001030,EXACT_MATCH,
pay_001031,stl_001031,bnk_001031,EXACT_MATCH,
pay_001032,stl_001032,bnk_001032,EXACT_MATCH,
pay_001033,stl_001033,bnk_001033,AMOUNT_MISMATCH,AMOUNT_MISMATCH
pay_001034,stl_001034,bnk_orphan_001034,UNMATCHED_BANK_CREDIT,UNMATCHED_BANK_CREDIT
pay_001035,stl_001035,bnk_001035,FEE_MISMATCH,FEE_MISMATCH
pay_001036,stl_001036,bnk_001036,PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
pay_001037,stl_001037,bnk_001037,EXACT_MATCH,
pay_001038,stl_001038,bnk_001038,PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
pay_001039,stl_001039,bnk_001039,EXACT_MATCH,
pay_001040,stl_001040,bnk_001040,EXACT_MATCH,
pay_001041,stl_001041,bnk_001041,EXACT_MATCH,
pay_001042,stl_001042,bnk_001042,EXACT_MATCH,
pay_001043,stl_001043,bnk_001043,EXACT_MATCH,
pay_001044,stl_001044,bnk_001044,EXACT_MATCH,
pay_001045,stl_001045,bnk_001045,EXACT_MATCH,
pay_001046,stl_001046,bnk_001046,EXACT_MATCH,
pay_001047,stl_001047,bnk_001047,AMOUNT_MISMATCH,AMOUNT_MISMATCH
pay_001048,stl_001048,bnk_001048,EXACT_MATCH,
pay_001049,stl_001049,bnk_001049,EXACT_MATCH,
pay_001050,stl_001050,bnk_001050,DELAYED_SETTLEMENT,DELAYED_SETTLEMENT
pay_001051,stl_001051,bnk_001051,EXACT_MATCH,
pay_001052,stl_001052,bnk_001052,EXACT_MATCH,
pay_001053,stl_001053,bnk_001053,EXACT_MATCH,
pay_001054,stl_001054,bnk_001054,PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
pay_001055,stl_001055,bnk_001055,EXACT_MATCH,
pay_001056,stl_001056,bnk_001056,EXACT_MATCH,
pay_001057,stl_001057,bnk_001057,EXACT_MATCH,
pay_001058,stl_001058,bnk_001058,EXACT_MATCH,
pay_001059,stl_001059,bnk_001059,EXACT_MATCH,
pay_001060,stl_001060,bnk_001060,EXACT_MATCH,
pay_001061,stl_001061,bnk_001061,EXACT_MATCH,
pay_001062,stl_001062,bnk_001062,EXACT_MATCH,
pay_001063,stl_001063,bnk_001063,DUPLICATE_BANK_CREDIT,DUPLICATE_BANK_CREDIT
pay_001064,stl_001064,bnk_001064,EXACT_MATCH,
pay_001065,stl_001065,bnk_001065,AMOUNT_MISMATCH,AMOUNT_MISMATCH
pay_001066,stl_001066,bnk_001066,EXACT_MATCH,
pay_001067,stl_001067,bnk_001067,EXACT_MATCH,
pay_001068,stl_001068,bnk_orphan_001068,UNMATCHED_BANK_CREDIT,UNMATCHED_BANK_CREDIT
pay_001069,stl_001069,bnk_001069,EXACT_MATCH,
pay_001070,stl_001070,bnk_001070,EXACT_MATCH,
pay_001071,stl_001071,bnk_001071,EXACT_MATCH,
pay_001072,stl_001072,bnk_001072,EXACT_MATCH,
pay_001073,stl_001073,bnk_001073,EXACT_MATCH,
pay_001074,stl_001074,bnk_001074,EXACT_MATCH,
pay_001075,stl_001075,bnk_001075,DUPLICATE_BANK_CREDIT,DUPLICATE_BANK_CREDIT
pay_001076,stl_001076,bnk_001076,FEE_MISMATCH,FEE_MISMATCH
pay_001077,stl_001077,bnk_001077,EXACT_MATCH,
pay_001078,stl_001078,bnk_001078,DELAYED_SETTLEMENT,DELAYED_SETTLEMENT
pay_001079,stl_001079,bnk_001079,EXACT_MATCH,
pay_001080,stl_001080,bnk_001080,EXACT_MATCH,
pay_001081,stl_001081,bnk_001081,DELAYED_SETTLEMENT,DELAYED_SETTLEMENT
pay_001082,stl_001082,bnk_001082,EXACT_MATCH,
pay_001083,stl_001083,bnk_001083,FEE_MISMATCH,FEE_MISMATCH
pay_001084,stl_001084,bnk_001084,EXACT_MATCH,
pay_001085,stl_001085,bnk_001085,EXACT_MATCH,
pay_001086,stl_001086,bnk_001086,PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
pay_001087,stl_001087,bnk_001087,EXACT_MATCH,
pay_001088,stl_001088,bnk_001088,EXACT_MATCH,
pay_001089,stl_001089,bnk_001089,EXACT_MATCH,
pay_001090,stl_001090,bnk_001090,DUPLICATE_BANK_CREDIT,DUPLICATE_BANK_CREDIT
pay_001091,stl_001091,bnk_001091,EXACT_MATCH,
pay_001092,stl_001092,bnk_001092,EXACT_MATCH,
pay_001093,stl_001093,bnk_001093,EXACT_MATCH,
pay_001094,stl_001094,bnk_001094,EXACT_MATCH,
pay_001095,stl_001095,bnk_001095,EXACT_MATCH,
pay_001096,stl_001096,bnk_001096,EXACT_MATCH,
pay_001097,stl_001097,bnk_001097,EXACT_MATCH,
pay_001098,stl_001098,bnk_001098,AMOUNT_MISMATCH,AMOUNT_MISMATCH
pay_001099,stl_001099,bnk_001099,EXACT_MATCH,
pay_001100,stl_001100,bnk_001100,FEE_MISMATCH,FEE_MISMATCH
pay_001101,stl_001101,bnk_001101,EXACT_MATCH,
pay_001102,stl_001102,bnk_001102,EXACT_MATCH,
pay_001103,stl_001103,bnk_001103,EXACT_MATCH,
pay_001104,stl_001104,bnk_001104,EXACT_MATCH,
pay_001105,stl_001105,bnk_001105,EXACT_MATCH,
pay_001106,stl_001106,bnk_001106,DELAYED_SETTLEMENT,DELAYED_SETTLEMENT
pay_001107,stl_001107,bnk_001107,EXACT_MATCH,
pay_001108,stl_001108,bnk_001108,EXACT_MATCH,
pay_001109,stl_001109,bnk_001109,EXACT_MATCH,
pay_001110,stl_001110,bnk_001110,DUPLICATE_BANK_CREDIT,DUPLICATE_BANK_CREDIT
pay_001111,stl_001111,bnk_001111,EXACT_MATCH,
pay_001112,stl_001112,bnk_001112,EXACT_MATCH,
pay_001113,stl_001113,bnk_001113,EXACT_MATCH,
pay_001114,stl_001114,bnk_001114,EXACT_MATCH,
pay_001115,stl_001115,bnk_001115,EXACT_MATCH,
pay_001116,stl_001116,bnk_001116,DELAYED_SETTLEMENT,DELAYED_SETTLEMENT
pay_001117,,,MISSING_SETTLEMENT,MISSING_SETTLEMENT
pay_001118,stl_001118,bnk_001118,EXACT_MATCH,
pay_001119,stl_001119,bnk_001119,EXACT_MATCH,
pay_001120,stl_001120,bnk_001120,AMOUNT_MISMATCH,AMOUNT_MISMATCH
pay_001121,stl_001121,bnk_001121,EXACT_MATCH,
pay_001122,stl_001122,bnk_001122,EXACT_MATCH,
pay_001123,stl_001123,bnk_001123,EXACT_MATCH,
pay_001124,stl_001124,bnk_001124,EXACT_MATCH,
pay_001125,stl_001125,bnk_001125,EXACT_MATCH,
pay_001126,stl_001126,bnk_001126,EXACT_MATCH,
pay_001127,stl_001127,bnk_001127,EXACT_MATCH,
pay_001128,stl_001128,bnk_001128,EXACT_MATCH,
pay_001129,stl_001129,bnk_001129,PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT
pay_001130,stl_001130,bnk_001130,EXACT_MATCH,
pay_001131,stl_001131,bnk_001131,EXACT_MATCH,
pay_001132,stl_001132,bnk_001132,EXACT_MATCH,
pay_001133,stl_001133,bnk_001133,AMOUNT_MISMATCH,AMOUNT_MISMATCH
pay_001134,,,MISSING_SETTLEMENT,MISSING_SETTLEMENT
pay_001135,stl_001135,bnk_001135,EXACT_MATCH,
pay_001136,stl_001136,bnk_001136,EXACT_MATCH,
pay_001137,stl_001137,bnk_001137,EXACT_MATCH,
pay_001138,stl_001138,bnk_001138,EXACT_MATCH,
pay_001139,stl_001139,bnk_001139,EXACT_MATCH,
pay_001140,stl_001140,bnk_001140,FEE_MISMATCH,FEE_MISMATCH
pay_001141,stl_001141,bnk_001141,EXACT_MATCH,
pay_001142,stl_001142,bnk_001142,DUPLICATE_BANK_CREDIT,DUPLICATE_BANK_CREDIT
pay_001143,stl_001143,bnk_001143,EXACT_MATCH,
pay_001144,stl_001144,bnk_001144,EXACT_MATCH,
pay_001145,stl_001145,bnk_001145,EXACT_MATCH,
pay_001146,stl_001146,bnk_001146,EXACT_MATCH,
pay_001147,stl_001147,bnk_001147,EXACT_MATCH,
pay_001148,stl_001148,bnk_001148,EXACT_MATCH,
pay_001149,stl_001149,bnk_001149,EXACT_MATCH,
