order_id,merchant_id,customer_id,order_amount,currency,order_date,order_status
ord_001000,mrc_demo_003,cus_33416,24303.97,INR,2026-07-17,PAID
ord_001001,mrc_demo_001,cus_31174,9503.96,INR,2026-07-10,PAID
ord_001002,mrc_demo_001,cus_84364,6211.13,INR,2026-07-04,PAID
ord_001003,mrc_demo_003,cus_72296,3427.22,INR,2026-07-09,PAID
ord_001004,mrc_demo_003,cus_50857,5228.04,INR,2026-08-14,PAID
ord_001005,mrc_demo_002,cus_18392,6385.23,INR,2026-07-08,PAID
ord_001006,mrc_demo_001,cus_40007,15869.46,INR,2026-08-15,PAID
ord_001007,mrc_demo_002,cus_46500,12974.99,INR,2026-07-05,PAID
ord_001008,mrc_demo_002,cus_63354,19669.03,INR,2026-07-16,PAID
ord_001009,mrc_demo_002,cus_17100,11808.48,INR,2026-07-27,PAID
ord_001010,mrc_demo_001,cus_80292,4991.4,INR,2026-07-16,PAID
ord_001011,mrc_demo_001,cus_82132,11217.1,INR,2026-07-05,PAID
ord_001012,mrc_demo_001,cus_73092,10308.35,INR,2026-07-11,PAID
ord_001013,mrc_demo_002,cus_69638,23181.05,INR,2026-07-17,PAID
ord_001014,mrc_demo_003,cus_51104,1758.22,INR,2026-08-04,PAID
ord_001015,mrc_demo_001,cus_34356,2232.28,INR,2026-08-02,PAID
ord_001016,mrc_demo_002,cus_84668,23554.24,INR,2026-07-08,PAID
ord_001017,mrc_demo_003,cus_64948,15579.35,INR,2026-07-03,PAID
ord_001018,mrc_demo_001,cus_98039,10045.3,INR,2026-07-17,PAID
ord_001019,mrc_demo_003,cus_19602,24903.14,INR,2026-08-06,PAID
ord_001020,mrc_demo_001,cus_30676,9395.39,INR,2026-07-16,PAID
ord_001021,mrc_demo_003,cus_82692,16779.28,INR,2026-07-01,PAID
ord_001022,mrc_demo_001,cus_30374,18624.5,INR,2026-07-07,PAID
ord_001023,mrc_demo_003,cus_76244,21359.31,INR,2026-08-10,PAID
ord_001024,mrc_demo_002,cus_53719,1340.66,INR,2026-07-18,PAID
ord_001025,mrc_demo_002,cus_82309,18595.15,INR,2026-07-11,PAID
ord_001026,mrc_demo_001,cus_29410,14666.76,INR,2026-07-24,PAID
ord_001027,mrc_demo_001,cus_42706,5448.95,INR,2026-07-23,PAID
ord_001028,mrc_demo_001,cus_33206,24410.84,INR,2026-07-11,PAID
ord_001029,mrc_demo_001,cus_63964,19613.76,INR,2026-07-22,PAID
ord_001030,mrc_demo_001,cus_70332,5754.79,INR,2026-07-31,PAID
ord_001031,mrc_demo_001,cus_19099,8374.07,INR,2026-07-26,PAID
ord_001032,mrc_demo_001,cus_44237,21956.42,INR,2026-07-08,PAID
ord_001033,mrc_demo_002,cus_51114,18281.17,INR,2026-07-23,PAID
ord_001034,mrc_demo_001,cus_78146,11042.03,INR,2026-08-15,PAID
ord_001035,mrc_demo_002,cus_49363,21238.09,INR,2026-08-12,PAID
ord_001036,mrc_demo_002,cus_65108,3399.9,INR,2026-08-05,PAID
ord_001037,mrc_demo_002,cus_49829,20884.41,INR,2026-08-05,PAID
ord_001038,mrc_demo_002,cus_98555,11183.81,INR,2026-07-30,PAID
ord_001039,mrc_demo_001,cus_92960,13007.07,INR,2026-07-19,PAID
ord_001040,mrc_demo_001,cus_42092,854.03,INR,2026-07-10,PAID
ord_001041,mrc_demo_001,cus_74799,17484.44,INR,2026-08-15,PAID
ord_001042,mrc_demo_001,cus_77889,5665.87,INR,2026-07-28,PAID
ord_001043,mrc_demo_002,cus_83259,13395.15,INR,2026-08-12,PAID
ord_001044,mrc_demo_003,cus_81810,20806.29,INR,2026-07-28,PAID
ord_001045,mrc_demo_001,cus_78327,7113.03,INR,2026-08-10,PAID
ord_001046,mrc_demo_003,cus_54020,6053.27,INR,2026-07-19,PAID
ord_001047,mrc_demo_002,cus_38043,4031.47,INR,2026-08-14,PAID
ord_001048,mrc_demo_001,cus_61049,20863.76,INR,2026-07-14,PAID
ord_001049,mrc_demo_002,cus_81582,13570.59,INR,2026-07-27,PAID
ord_001050,mrc_demo_001,cus_99016,8568.79,INR,2026-07-25,PAID
ord_001051,mrc_demo_001,cus_61645,13469.19,INR,2026-08-09,PAID
ord_001052,mrc_demo_001,cus_52906,6688.43,INR,2026-07-04,PAID
ord_001053,mrc_demo_002,cus_71644,20913.75,INR,2026-07-17,PAID
ord_001054,mrc_demo_001,cus_14067,1245.9,INR,2026-08-11,PAID
ord_001055,mrc_demo_001,cus_83920,16818.77,INR,2026-07-31,PAID
ord_001056,mrc_demo_003,cus_31465,3084.22,INR,2026-08-15,PAID
ord_001057,mrc_demo_002,cus_35995,23551.13,INR,2026-07-26,PAID
ord_001058,mrc_demo_002,cus_25866,15109.84,INR,2026-08-13,PAID
ord_001059,mrc_demo_003,cus_65057,8695.06,INR,2026-08-11,PAID
ord_001060,mrc_demo_003,cus_78386,11027.92,INR,2026-07-10,PAID
ord_001061,mrc_demo_002,cus_21359,21329.61,INR,2026-07-21,PAID
ord_001062,mrc_demo_003,cus_74789,8575.4,INR,2026-07-25,PAID
ord_001063,mrc_demo_002,cus_88139,7171.12,INR,2026-07-22,PAID
ord_001064,mrc_demo_003,cus_41499,12341.92,INR,2026-07-27,PAID
ord_001065,mrc_demo_001,cus_41890,5734.07,INR,2026-07-19,PAID
ord_001066,mrc_demo_002,cus_69473,8436.67,INR,2026-08-05,PAID
ord_001067,mrc_demo_001,cus_80236,3208.51,INR,2026-07-21,PAID
ord_001068,mrc_demo_003,cus_78765,24420.77,INR,2026-08-07,PAID
ord_001069,mrc_demo_002,cus_26591,17773.13,INR,2026-07-01,PAID
ord_001070,mrc_demo_001,cus_74340,21744.13,INR,2026-08-10,PAID
ord_001071,mrc_demo_002,cus_43092,24145.81,INR,2026-07-12,PAID
ord_001072,mrc_demo_003,cus_29887,17239.33,INR,2026-08-10,PAID
ord_001073,mrc_demo_001,cus_89471,19169.67,INR,2026-08-05,PAID
ord_001074,mrc_demo_002,cus_50026,24753.02,INR,2026-08-07,PAID
ord_001075,mrc_demo_002,cus_41439,2258.91,INR,2026-08-12,PAID
ord_001076,mrc_demo_003,cus_40340,7458.24,INR,2026-07-31,PAID
ord_001077,mrc_demo_001,cus_44675,6026.8,INR,2026-08-13,PAID
ord_001078,mrc_demo_001,cus_19359,20708.83,INR,2026-07-18,PAID
ord_001079,mrc_demo_003,cus_71433,11118.66,INR,2026-07-19,PAID
ord_001080,mrc_demo_002,cus_15224,2240.46,INR,2026-07-29,PAID
ord_001081,mrc_demo_001,cus_85392,24057.04,INR,2026-07-15,PAID
ord_001082,mrc_demo_003,cus_32962,19136.64,INR,2026-07-03,PAID
ord_001083,mrc_demo_003,cus_71605,24233.86,INR,2026-08-01,PAID
ord_001084,mrc_demo_001,cus_74942,10437.82,INR,2026-07-22,PAID
ord_001085,mrc_demo_001,cus_25194,6496.43,INR,2026-07-21,PAID
ord_001086,mrc_demo_002,cus_77952,1591.06,INR,2026-07-27,PAID
ord_001087,mrc_demo_001,cus_27172,6859.21,INR,2026-07-14,PAID
ord_001088,mrc_demo_001,cus_82199,4169.4,INR,2026-08-15,PAID
ord_001089,mrc_demo_001,cus_75323,20845.25,INR,2026-08-11,PAID
ord_001090,mrc_demo_002,cus_28958,11555.08,INR,2026-07-16,PAID
ord_001091,mrc_demo_003,cus_47072,20558.3,INR,2026-07-18,PAID
ord_001092,mrc_demo_002,cus_81228,8477.47,INR,2026-07-23,PAID
ord_001093,mrc_demo_001,cus_63841,9728.12,INR,2026-08-06,PAID
ord_001094,mrc_demo_002,cus_95461,24712.99,INR,2026-07-25,PAID
ord_001095,mrc_demo_001,cus_69890,2717.39,INR,2026-07-29,PAID
ord_001096,mrc_demo_001,cus_44737,11869.51,INR,2026-07-05,PAID
ord_001097,mrc_demo_002,cus_73956,18037.94,INR,2026-08-10,PAID
ord_001098,mrc_demo_002,cus_66881,18732.15,INR,2026-07-15,PAID
ord_001099,mrc_demo_001,cus_17355,8277.85,INR,2026-07-03,PAID
