payment_id,order_id,merchant_id,amount,payment_method,payment_status,created_at
pay_001000,ord_001000,mrc_demo_003,24303.97,UPI,CAPTURED,2026-07-17T18:15:00
pay_001001,ord_001001,mrc_demo_001,9503.96,UPI,CAPTURED,2026-07-10T17:15:00
pay_001002,ord_001002,mrc_demo_001,6211.13,UPI,CAPTURED,2026-07-04T09:15:00
pay_001003,ord_001003,mrc_demo_003,3427.22,CARD,CAPTURED,2026-07-09T12:15:00
pay_001004,ord_001004,mrc_demo_003,5228.04,WALLET,CAPTURED,2026-08-14T18:15:00
pay_001005,ord_001005,mrc_demo_002,6385.23,NETBANKING,CAPTURED,2026-07-08T08:15:00
pay_001006,ord_001006,mrc_demo_001,15869.46,UPI,CAPTURED,2026-08-15T08:15:00
pay_001007,ord_001007,mrc_demo_002,12974.99,WALLET,CAPTURED,2026-07-05T11:15:00
pay_001008,ord_001008,mrc_demo_002,19669.03,CARD,CAPTURED,2026-07-16T09:15:00
pay_001009,ord_001009,mrc_demo_002,11808.48,UPI,CAPTURED,2026-07-27T08:15:00
pay_001010,ord_001010,mrc_demo_001,4991.4,WALLET,CAPTURED,2026-07-16T10:15:00
pay_001011,ord_001011,mrc_demo_001,11217.1,UPI,CAPTURED,2026-07-05T08:15:00
pay_001012,ord_001012,mrc_demo_001,10308.35,CARD,CAPTURED,2026-07-11T14:15:00
pay_001013,ord_001013,mrc_demo_002,23181.05,NETBANKING,CAPTURED,2026-07-17T14:15:00
pay_001014,ord_001014,mrc_demo_003,1758.22,UPI,CAPTURED,2026-08-04T08:15:00
pay_001015,ord_001015,mrc_demo_001,2232.28,UPI,CAPTURED,2026-08-02T17:15:00
pay_001016,ord_001016,mrc_demo_002,23554.24,CARD,CAPTURED,2026-07-08T17:15:00
pay_001017,ord_001017,mrc_demo_003,15579.35,NETBANKING,CAPTURED,2026-07-03T12:15:00
pay_001018,ord_001018,mrc_demo_001,10045.3,NETBANKING,CAPTURED,2026-07-17T15:15:00
pay_001019,ord_001019,mrc_demo_003,24903.14,CARD,CAPTURED,2026-08-06T16:15:00
pay_001020,ord_001020,mrc_demo_001,9395.39,WALLET,CAPTURED,2026-07-16T16:15:00
pay_001021,ord_001021,mrc_demo_003,16779.28,NETBANKING,CAPTURED,2026-07-01T18:15:00
pay_001022,ord_001022,mrc_demo_001,18624.5,NETBANKING,CAPTURED,2026-07-07T12:15:00
pay_001023,ord_001023,mrc_demo_003,21359.31,WALLET,CAPTURED,2026-08-10T12:15:00
pay_001024,ord_001024,mrc_demo_002,1340.66,CARD,CAPTURED,2026-07-18T18:15:00
pay_001025,ord_001025,mrc_demo_002,18595.15,WALLET,CAPTURED,2026-07-11T16:15:00
pay_001026,ord_001026,mrc_demo_001,14666.76,WALLET,CAPTURED,2026-07-24T10:15:00
pay_001027,ord_001027,mrc_demo_001,5448.95,UPI,CAPTURED,2026-07-23T13:15:00
pay_001028,ord_001028,mrc_demo_001,24410.84,WALLET,CAPTURED,2026-07-11T08:15:00
pay_001029,ord_001029,mrc_demo_001,19613.76,CARD,CAPTURED,2026-07-22T12:15:00
pay_001030,ord_001030,mrc_demo_001,5754.79,NETBANKING,CAPTURED,2026-07-31T12:15:00
pay_001031,ord_001031,mrc_demo_001,8374.07,NETBANKING,CAPTURED,2026-07-26T13:15:00
pay_001032,ord_001032,mrc_demo_001,21956.42,CARD,CAPTURED,2026-07-08T17:15:00
pay_001033,ord_001033,mrc_demo_002,18281.17,WALLET,CAPTURED,2026-07-23T17:15:00
pay_001034,ord_001034,mrc_demo_001,11042.03,CARD,CAPTURED,2026-08-15T13:15:00
pay_001035,ord_001035,mrc_demo_002,21238.09,NETBANKING,CAPTURED,2026-08-12T18:15:00
pay_001036,ord_001036,mrc_demo_002,3399.9,WALLET,CAPTURED,2026-08-05T18:15:00
pay_001037,ord_001037,mrc_demo_002,20884.41,NETBANKING,CAPTURED,2026-08-05T11:15:00
pay_001038,ord_001038,mrc_demo_002,11183.81,CARD,CAPTURED,2026-07-30T16:15:00
pay_001039,ord_001039,mrc_demo_001,13007.07,NETBANKING,CAPTURED,2026-07-19T09:15:00
pay_001040,ord_001040,mrc_demo_001,854.03,WALLET,CAPTURED,2026-07-10T17:15:00
pay_001041,ord_001041,mrc_demo_001,17484.44,WALLET,CAPTURED,2026-08-15T11:15:00
pay_001042,ord_001042,mrc_demo_001,5665.87,WALLET,CAPTURED,2026-07-28T08:15:00
pay_001043,ord_001043,mrc_demo_002,13395.15,NETBANKING,CAPTURED,2026-08-12T20:15:00
pay_001044,ord_001044,mrc_demo_003,20806.29,WALLET,CAPTURED,2026-07-28T10:15:00
pay_001045,ord_001045,mrc_demo_001,7113.03,WALLET,CAPTURED,2026-08-10T18:15:00
pay_001046,ord_001046,mrc_demo_003,6053.27,NETBANKING,CAPTURED,2026-07-19T16:15:00
pay_001047,ord_001047,mrc_demo_002,4031.47,UPI,CAPTURED,2026-08-14T14:15:00
pay_001048,ord_001048,mrc_demo_001,20863.76,UPI,CAPTURED,2026-07-14T20:15:00
pay_001049,ord_001049,mrc_demo_002,13570.59,CARD,CAPTURED,2026-07-27T15:15:00
pay_001050,ord_001050,mrc_demo_001,8568.79,WALLET,CAPTURED,2026-07-25T19:15:00
pay_001051,ord_001051,mrc_demo_001,13469.19,UPI,CAPTURED,2026-08-09T09:15:00
pay_001052,ord_001052,mrc_demo_001,6688.43,CARD,CAPTURED,2026-07-04T15:15:00
pay_001053,ord_001053,mrc_demo_002,20913.75,UPI,CAPTURED,2026-07-17T19:15:00
pay_001054,ord_001054,mrc_demo_001,1245.9,CARD,CAPTURED,2026-08-11T11:15:00
pay_001055,ord_001055,mrc_demo_001,16818.77,CARD,CAPTURED,2026-07-31T15:15:00
pay_001056,ord_001056,mrc_demo_003,3084.22,NETBANKING,CAPTURED,2026-08-15T09:15:00
pay_001057,ord_001057,mrc_demo_002,23551.13,UPI,CAPTURED,2026-07-26T17:15:00
pay_001058,ord_001058,mrc_demo_002,15109.84,UPI,CAPTURED,2026-08-13T13:15:00
pay_001059,ord_001059,mrc_demo_003,8695.06,WALLET,CAPTURED,2026-08-11T09:15:00
pay_001060,ord_001060,mrc_demo_003,11027.92,NETBANKING,CAPTURED,2026-07-10T17:15:00
pay_001061,ord_001061,mrc_demo_002,21329.61,NETBANKING,CAPTURED,2026-07-21T15:15:00
pay_001062,ord_001062,mrc_demo_003,8575.4,NETBANKING,CAPTURED,2026-07-25T10:15:00
pay_001063,ord_001063,mrc_demo_002,7171.12,NETBANKING,CAPTURED,2026-07-22T16:15:00
pay_001064,ord_001064,mrc_demo_003,12341.92,WALLET,CAPTURED,2026-07-27T18:15:00
pay_001065,ord_001065,mrc_demo_001,5734.07,NETBANKING,CAPTURED,2026-07-19T18:15:00
pay_001066,ord_001066,mrc_demo_002,8436.67,NETBANKING,CAPTURED,2026-08-05T12:15:00
pay_001067,ord_001067,mrc_demo_001,3208.51,CARD,CAPTURED,2026-07-21T11:15:00
pay_001068,ord_001068,mrc_demo_003,24420.77,NETBANKING,CAPTURED,2026-08-07T09:15:00
pay_001069,ord_001069,mrc_demo_002,17773.13,NETBANKING,CAPTURED,2026-07-01T08:15:00
pay_001070,ord_001070,mrc_demo_001,21744.13,UPI,CAPTURED,2026-08-10T08:15:00
pay_001071,ord_001071,mrc_demo_002,24145.81,WALLET,CAPTURED,2026-07-12T09:15:00
pay_001072,ord_001072,mrc_demo_003,17239.33,CARD,CAPTURED,2026-08-10T20:15:00
pay_001073,ord_001073,mrc_demo_001,19169.67,CARD,CAPTURED,2026-08-05T20:15:00
pay_001074,ord_001074,mrc_demo_002,24753.02,UPI,CAPTURED,2026-08-07T17:15:00
pay_001075,ord_001075,mrc_demo_002,2258.91,CARD,CAPTURED,2026-08-12T16:15:00
pay_001076,ord_001076,mrc_demo_003,7458.24,NETBANKING,CAPTURED,2026-07-31T19:15:00
pay_001077,ord_001077,mrc_demo_001,6026.8,CARD,CAPTURED,2026-08-13T14:15:00
pay_001078,ord_001078,mrc_demo_001,20708.83,UPI,CAPTURED,2026-07-18T10:15:00
pay_001079,ord_001079,mrc_demo_003,11118.66,NETBANKING,CAPTURED,2026-07-19T19:15:00
pay_001080,ord_001080,mrc_demo_002,2240.46,WALLET,CAPTURED,2026-07-29T19:15:00
pay_001081,ord_001081,mrc_demo_001,24057.04,UPI,CAPTURED,2026-07-15T20:15:00
pay_001082,ord_001082,mrc_demo_003,19136.64,WALLET,CAPTURED,2026-07-03T16:15:00
pay_001083,ord_001083,mrc_demo_003,24233.86,NETBANKING,CAPTURED,2026-08-01T14:15:00
pay_001084,ord_001084,mrc_demo_001,10437.82,NETBANKING,CAPTURED,2026-07-22T18:15:00
pay_001085,ord_001085,mrc_demo_001,6496.43,WALLET,CAPTURED,2026-07-21T16:15:00
pay_001086,ord_001086,mrc_demo_002,1591.06,NETBANKING,CAPTURED,2026-07-27T17:15:00
pay_001087,ord_001087,mrc_demo_001,6859.21,NETBANKING,CAPTURED,2026-07-14T15:15:00
pay_001088,ord_001088,mrc_demo_001,4169.4,UPI,CAPTURED,2026-08-15T16:15:00
pay_001089,ord_001089,mrc_demo_001,20845.25,NETBANKING,CAPTURED,2026-08-11T16:15:00
pay_001090,ord_001090,mrc_demo_002,11555.08,WALLET,CAPTURED,2026-07-16T11:15:00
pay_001091,ord_001091,mrc_demo_003,20558.3,NETBANKING,CAPTURED,2026-07-18T17:15:00
