settlement_id,payment_id,merchant_id,gross_amount,gateway_fee,tax_on_fee,net_amount,settlement_date,settlement_status
stl_001000,pay_001000,mrc_demo_003,24303.97,486.08,87.49,23730.4,2026-07-19,PROCESSED
stl_001001,pay_001001,mrc_demo_001,9503.96,190.08,34.21,9279.67,2026-07-12,PROCESSED
stl_001002,pay_001002,mrc_demo_001,6211.13,167.7,30.19,6013.24,2026-07-07,PROCESSED
stl_001003,pay_001003,mrc_demo_003,3427.22,68.54,12.34,3346.34,2026-07-12,PROCESSED
stl_001004,pay_001004,mrc_demo_003,5228.04,104.56,18.82,5104.66,2026-08-16,PROCESSED
stl_001005,pay_001005,mrc_demo_002,6385.23,127.7,22.99,6234.54,2026-07-09,PROCESSED
stl_001007,pay_001007,mrc_demo_002,12974.99,259.5,46.71,12668.78,2026-07-06,PROCESSED
stl_001008,pay_001008,mrc_demo_002,19669.03,393.38,70.81,19204.84,2026-07-16,PROCESSED
stl_001009,pay_001009,mrc_demo_002,11808.48,236.17,42.51,11529.8,2026-07-30,PROCESSED
stl_001010,pay_001010,mrc_demo_001,4991.4,99.83,17.97,4873.6,2026-07-19,PROCESSED
stl_001011,pay_001011,mrc_demo_001,11217.1,224.34,40.38,10952.38,2026-07-05,PROCESSED
stl_001012,pay_001012,mrc_demo_001,10308.35,206.17,37.11,10065.07,2026-07-11,PROCESSED
stl_001013,pay_001013,mrc_demo_002,23181.05,463.62,83.45,22633.98,2026-07-20,PROCESSED
stl_001014,pay_001014,mrc_demo_003,1758.22,35.16,6.33,1716.73,2026-08-07,PROCESSED
stl_001015,pay_001015,mrc_demo_001,2232.28,44.65,8.04,2179.59,2026-08-02,PROCESSED
stl_001017,pay_001017,mrc_demo_003,15579.35,311.59,56.09,15211.67,2026-07-04,PROCESSED
stl_001018,pay_001018,mrc_demo_001,10045.3,200.91,36.16,9808.23,2026-07-19,PROCESSED
stl_001019,pay_001019,mrc_demo_003,24903.14,498.06,89.65,24315.43,2026-08-08,PROCESSED
stl_001020,pay_001020,mrc_demo_001,9395.39,187.91,33.82,9173.66,2026-07-18,PROCESSED
stl_001021,pay_001021,mrc_demo_003,16779.28,335.59,60.41,16383.28,2026-07-01,PROCESSED
stl_001022,pay_001022,mrc_demo_001,18624.5,372.49,67.05,18184.96,2026-07-08,PROCESSED
stl_001023,pay_001023,mrc_demo_003,21359.31,427.19,76.89,20855.23,2026-08-17,PROCESSED
stl_001025,pay_001025,mrc_demo_002,18595.15,371.9,66.94,18156.31,2026-07-11,PROCESSED
stl_001026,pay_001026,mrc_demo_001,14666.76,293.34,52.8,14320.62,2026-07-24,PROCESSED
stl_001027,pay_001027,mrc_demo_001,5448.95,108.98,19.62,5320.35,2026-07-26,PROCESSED
stl_001029,pay_001029,mrc_demo_001,19613.76,392.28,70.61,19150.87,2026-07-23,PROCESSED
stl_001030,pay_001030,mrc_demo_001,5754.79,115.1,20.72,5618.97,2026-08-01,PROCESSED
stl_001031,pay_001031,mrc_demo_001,8374.07,167.48,30.15,8176.44,2026-07-29,PROCESSED
stl_001032,pay_001032,mrc_demo_001,21956.42,439.13,79.04,21438.25,2026-07-10,PROCESSED
stl_001033,pay_001033,mrc_demo_002,18031.42,365.62,65.81,17599.99,2026-07-23,PROCESSED
stl_001034,pay_001034,mrc_demo_001,11042.03,220.84,39.75,10781.44,2026-08-18,PROCESSED
stl_001035,pay_001035,mrc_demo_002,21238.09,573.43,103.22,20561.44,2026-08-15,PROCESSED
stl_001036,pay_001036,mrc_demo_002,3399.9,68.0,12.24,3319.66,2026-08-06,PROCESSED
stl_001037,pay_001037,mrc_demo_002,20884.41,417.69,75.18,20391.54,2026-08-08,PROCESSED
stl_001038,pay_001038,mrc_demo_002,11183.81,223.68,40.26,10919.87,2026-08-02,PROCESSED
stl_001039,pay_001039,mrc_demo_001,13007.07,260.14,46.83,12700.1,2026-07-20,PROCESSED
stl_001040,pay_001040,mrc_demo_001,854.03,17.08,3.07,833.88,2026-07-10,PROCESSED
stl_001041,pay_001041,mrc_demo_001,17484.44,349.69,62.94,17071.81,2026-08-16,PROCESSED
stl_001042,pay_001042,mrc_demo_001,5665.87,113.32,20.4,5532.15,2026-07-29,PROCESSED
stl_001043,pay_001043,mrc_demo_002,13395.15,267.9,48.22,13079.03,2026-08-15,PROCESSED
stl_001044,pay_001044,mrc_demo_003,20806.29,416.13,74.9,20315.26,2026-07-31,PROCESSED
stl_001045,pay_001045,mrc_demo_001,7113.03,142.26,25.61,6945.16,2026-08-11,PROCESSED
stl_001046,pay_001046,mrc_demo_003,6053.27,121.07,21.79,5910.41,2026-07-19,PROCESSED
stl_001047,pay_001047,mrc_demo_002,3781.72,80.63,14.51,3686.58,2026-08-17,PROCESSED
stl_001048,pay_001048,mrc_demo_001,20863.76,417.28,75.11,20371.37,2026-07-17,PROCESSED
stl_001049,pay_001049,mrc_demo_002,13570.59,271.41,48.85,13250.33,2026-07-28,PROCESSED
stl_001050,pay_001050,mrc_demo_001,8568.79,171.38,30.85,8366.56,2026-08-01,PROCESSED
stl_001051,pay_001051,mrc_demo_001,13469.19,269.38,48.49,13151.32,2026-08-12,PROCESSED
stl_001052,pay_001052,mrc_demo_001,6688.43,133.77,24.08,6530.58,2026-07-06,PROCESSED
stl_001053,pay_001053,mrc_demo_002,20913.75,418.28,75.29,20420.18,2026-07-17,PROCESSED
stl_001054,pay_001054,mrc_demo_001,1245.9,24.92,4.49,1216.49,2026-08-11,PROCESSED
stl_001055,pay_001055,mrc_demo_001,16818.77,336.38,60.55,16421.84,2026-08-02,PROCESSED
stl_001056,pay_001056,mrc_demo_003,3084.22,61.68,11.1,3011.44,2026-08-15,PROCESSED
stl_001057,pay_001057,mrc_demo_002,23551.13,471.02,84.78,22995.33,2026-07-27,PROCESSED
stl_001058,pay_001058,mrc_demo_002,15109.84,302.2,54.4,14753.24,2026-08-16,PROCESSED
stl_001059,pay_001059,mrc_demo_003,8695.06,173.9,31.3,8489.86,2026-08-14,PROCESSED
stl_001060,pay_001060,mrc_demo_003,11027.92,220.56,39.7,10767.66,2026-07-13,PROCESSED
stl_001061,pay_001061,mrc_demo_002,21329.61,426.59,76.79,20826.23,2026-07-22,PROCESSED
stl_001062,pay_001062,mrc_demo_003,8575.4,171.51,30.87,8373.02,2026-07-28,PROCESSED
stl_001063,pay_001063,mrc_demo_002,7171.12,143.42,25.82,7001.88,2026-07-22,PROCESSED
stl_001064,pay_001064,mrc_demo_003,12341.92,246.84,44.43,12050.65,2026-07-30,PROCESSED
stl_001065,pay_001065,mrc_demo_001,5484.32,114.68,20.64,5349.0,2026-07-21,PROCESSED
stl_001066,pay_001066,mrc_demo_002,8436.67,168.73,30.37,8237.57,2026-08-07,PROCESSED
stl_001067,pay_001067,mrc_demo_001,3208.51,64.17,11.55,3132.79,2026-07-22,PROCESSED
stl_001068,pay_001068,mrc_demo_003,24420.77,488.42,87.91,23844.44,2026-08-08,PROCESSED
stl_001069,pay_001069,mrc_demo_002,17773.13,355.46,63.98,17353.69,2026-07-01,PROCESSED
stl_001070,pay_001070,mrc_demo_001,21744.13,434.88,78.28,21230.97,2026-08-12,PROCESSED
stl_001071,pay_001071,mrc_demo_002,24145.81,482.92,86.92,23575.97,2026-07-12,PROCESSED
stl_001072,pay_001072,mrc_demo_003,17239.33,344.79,62.06,16832.48,2026-08-12,PROCESSED
stl_001073,pay_001073,mrc_demo_001,19169.67,383.39,69.01,18717.27,2026-08-08,PROCESSED
stl_001074,pay_001074,mrc_demo_002,24753.02,495.06,89.11,24168.85,2026-08-07,PROCESSED
stl_001075,pay_001075,mrc_demo_002,2258.91,45.18,8.13,2205.6,2026-08-12,PROCESSED
stl_001076,pay_001076,mrc_demo_003,7458.24,201.37,36.25,7220.62,2026-08-02,PROCESSED
stl_001077,pay_001077,mrc_demo_001,6026.8,120.54,21.7,5884.56,2026-08-13,PROCESSED
stl_001078,pay_001078,mrc_demo_001,20708.83,414.18,74.55,20220.1,2026-07-25,PROCESSED
stl_001079,pay_001079,mrc_demo_003,11118.66,222.37,40.03,10856.26,2026-07-22,PROCESSED
stl_001080,pay_001080,mrc_demo_002,2240.46,44.81,8.07,2187.58,2026-07-31,PROCESSED
stl_001081,pay_001081,mrc_demo_001,24057.04,481.14,86.61,23489.29,2026-07-22,PROCESSED
stl_001082,pay_001082,mrc_demo_003,19136.64,382.73,68.89,18685.02,2026-07-06,PROCESSED
stl_001083,pay_001083,mrc_demo_003,24233.86,654.32,117.78,23461.76,2026-08-03,PROCESSED
stl_001084,pay_001084,mrc_demo_001,10437.82,208.76,37.58,10191.48,2026-07-25,PROCESSED
stl_001085,pay_001085,mrc_demo_001,6496.43,129.93,23.39,6343.11,2026-07-21,PROCESSED
stl_001086,pay_001086,mrc_demo_002,1591.06,31.82,5.73,1553.51,2026-07-30,PROCESSED
stl_001087,pay_001087,mrc_demo_001,6859.21,137.18,24.69,6697.34,2026-07-17,PROCESSED
stl_001088,pay_001088,mrc_demo_001,4169.4,83.39,15.01,4071.0,2026-08-18,PROCESSED
stl_001089,pay_001089,mrc_demo_001,20845.25,416.91,75.04,20353.3,2026-08-13,PROCESSED
stl_001090,pay_001090,mrc_demo_002,11555.08,231.1,41.6,11282.38,2026-07-17,PROCESSED
stl_001091,pay_001091,mrc_demo_003,20558.3,411.17,74.01,20073.12,2026-07-21,PROCESSED
stl_001092,pay_001092,mrc_demo_002,8477.47,169.55,30.52,8277.4,2026-07-25,PROCESSED
stl_001093,pay_001093,mrc_demo_001,9728.12,194.56,35.02,9498.54,2026-08-09,PROCESSED
stl_001094,pay_001094,mrc_demo_002,24712.99,494.26,88.97,24129.76,2026-07-25,PROCESSED
stl_001095,pay_001095,mrc_demo_001,2717.39,54.35,9.78,2653.26,2026-07-30,PROCESSED
stl_001096,pay_001096,mrc_demo_001,11869.51,237.39,42.73,11589.39,2026-07-08,PROCESSED
stl_001097,pay_001097,mrc_demo_002,18037.94,360.76,64.94,17612.24,2026-08-10,PROCESSED
stl_001098,pay_001098,mrc_demo_002,18482.4,374.64,67.44,18040.32,2026-07-15,PROCESSED
stl_001099,pay_001099,mrc_demo_001,8277.85,165.56,29.8,8082.49,2026-07-05,PROCESSED
stl_001100,pay_001100,mrc_demo_003,14256.36,384.93,69.29,13802.14,2026-07-27,PROCESSED
stl_001101,pay_001101,mrc_demo_003,6210.1,124.2,22.36,6063.54,2026-08-16,PROCESSED
stl_001102,pay_001102,mrc_demo_002,482.09,9.64,1.74,470.71,2026-08-13,PROCESSED
stl_001103,pay_001103,mrc_demo_003,17334.93,346.7,62.41,16925.82,2026-07-31,PROCESSED
stl_001104,pay_001104,mrc_demo_002,9133.83,182.68,32.88,8918.27,2026-08-09,PROCESSED
stl_001105,pay_001105,mrc_demo_003,22787.5,455.75,82.03,22249.72,2026-07-05,PROCESSED
stl_001106,pay_001106,mrc_demo_001,4955.31,99.11,17.84,4838.36,2026-08-17,PROCESSED
stl_001107,pay_001107,mrc_demo_003,7895.67,157.91,28.42,7709.34,2026-07-05,PROCESSED
stl_001108,pay_001108,mrc_demo_002,18749.84,375.0,67.5,18307.34,2026-07-23,PROCESSED
stl_001109,pay_001109,mrc_demo_002,18727.03,374.54,67.42,18285.07,2026-07-19,PROCESSED
stl_001110,pay_001110,mrc_demo_003,24189.67,483.79,87.08,23618.8,2026-07-29,PROCESSED
stl_001111,pay_001111,mrc_demo_002,18787.72,375.75,67.64,18344.33,2026-08-15,PROCESSED
stl_001112,pay_001112,mrc_demo_002,15583.44,311.67,56.1,15215.67,2026-07-03,PROCESSED
stl_001113,pay_001113,mrc_demo_002,7728.78,154.58,27.82,7546.38,2026-08-14,PROCESSED
stl_001114,pay_001114,mrc_demo_001,22209.39,444.19,79.95,21685.25,2026-07-18,PROCESSED
stl_001115,pay_001115,mrc_demo_003,10622.99,212.46,38.24,10372.29,2026-08-04,PROCESSED
stl_001116,pay_001116,mrc_demo_002,17334.12,346.68,62.4,16925.04,2026-07-10,PROCESSED
stl_001118,pay_001118,mrc_demo_002,4947.31,98.95,17.81,4830.55,2026-07-19,PROCESSED
