id,arrival_date,amount_cents,fee_cents,refund_cents,charge_count
PO0053,2025-01-04,302128,8762,4587,32
PO0055,2025-01-12,895043,25956,30768,91
PO0057,2025-01-19,389698,11301,5621,41
PO0059,2025-01-25,773796,22440,27970,86
PO0061,2025-01-30,1147896,33289,47763,117
PO0063,2025-02-07,1060032,30741,15381,108
PO0065,2025-02-13,1085324,31474,44317,115
PO0067,2025-02-19,692094,20071,27074,77
PO0069,2025-02-28,662644,19217,26561,61
PO0071,2025-03-08,925311,26833,19346,95
PO0073,2025-03-16,257423,7465,7020,31
PO0075,2025-03-24,890291,25818,29781,86
